review_id,order_id,review_score,review_comment
REV-100000,ORD-100000,1,Low score due to abnormal order signal.
REV-100001,ORD-100001,4,Demo review with acceptable customer experience.
REV-100002,ORD-100002,5,Demo review with acceptable customer experience.
REV-100003,ORD-100003,3,Demo review with acceptable customer experience.
REV-100004,ORD-100004,4,Demo review with acceptable customer experience.
REV-100005,ORD-100005,2,Low score due to abnormal order signal.
REV-100006,ORD-100006,3,Demo review with acceptable customer experience.
REV-100007,ORD-100007,2,Low score due to abnormal order signal.
REV-100008,ORD-100008,5,Demo review with acceptable customer experience.
REV-100009,ORD-100009,2,Low score due to abnormal order signal.
REV-100010,ORD-100010,4,Demo review with acceptable customer experience.
REV-100011,ORD-100011,5,Demo review with acceptable customer experience.
REV-100012,ORD-100012,3,Demo review with acceptable customer experience.
REV-100013,ORD-100013,4,Demo review with acceptable customer experience.
REV-100014,ORD-100014,1,Low score due to abnormal order signal.
REV-100015,ORD-100015,3,Demo review with acceptable customer experience.
REV-100016,ORD-100016,4,Demo review with acceptable customer experience.
REV-100017,ORD-100017,5,Demo review with acceptable customer experience.
REV-100018,ORD-100018,1,Low score due to abnormal order signal.
REV-100019,ORD-100019,2,Low score due to abnormal order signal.
REV-100020,ORD-100020,5,Demo review with acceptable customer experience.
REV-100021,ORD-100021,2,Low score due to abnormal order signal.
REV-100022,ORD-100022,4,Demo review with acceptable customer experience.
REV-100023,ORD-100023,5,Demo review with acceptable customer experience.
REV-100024,ORD-100024,3,Demo review with acceptable customer experience.
REV-100025,ORD-100025,4,Demo review with acceptable customer experience.
REV-100026,ORD-100026,5,Demo review with acceptable customer experience.
REV-100027,ORD-100027,2,Low score due to abnormal order signal.
REV-100028,ORD-100028,1,Low score due to abnormal order signal.
REV-100029,ORD-100029,2,Low score due to abnormal order signal.
REV-100030,ORD-100030,3,Demo review with acceptable customer experience.
REV-100031,ORD-100031,4,Demo review with acceptable customer experience.
REV-100032,ORD-100032,5,Demo review with acceptable customer experience.
REV-100033,ORD-100033,2,Low score due to abnormal order signal.
REV-100034,ORD-100034,4,Demo review with acceptable customer experience.
REV-100035,ORD-100035,2,Low score due to abnormal order signal.
REV-100036,ORD-100036,1,Low score due to abnormal order signal.
REV-100037,ORD-100037,4,Demo review with acceptable customer experience.
REV-100038,ORD-100038,1,Low score due to abnormal order signal.
REV-100039,ORD-100039,3,Demo review with acceptable customer experience.
REV-100040,ORD-100040,4,Demo review with acceptable customer experience.
REV-100041,ORD-100041,5,Demo review with acceptable customer experience.
REV-100042,ORD-100042,1,Low score due to abnormal order signal.
REV-100043,ORD-100043,4,Demo review with acceptable customer experience.
REV-100044,ORD-100044,5,Demo review with acceptable customer experience.
REV-100045,ORD-100045,2,Low score due to abnormal order signal.
REV-100046,ORD-100046,4,Demo review with acceptable customer experience.
REV-100047,ORD-100047,5,Demo review with acceptable customer experience.
REV-100048,ORD-100048,3,Demo review with acceptable customer experience.
REV-100049,ORD-100049,2,Low score due to abnormal order signal.
REV-100050,ORD-100050,5,Demo review with acceptable customer experience.
REV-100051,ORD-100051,3,Demo review with acceptable customer experience.
REV-100052,ORD-100052,4,Demo review with acceptable customer experience.
REV-100053,ORD-100053,5,Demo review with acceptable customer experience.
REV-100054,ORD-100054,1,Low score due to abnormal order signal.
REV-100055,ORD-100055,4,Demo review with acceptable customer experience.
REV-100056,ORD-100056,1,Low score due to abnormal order signal.
REV-100057,ORD-100057,2,Low score due to abnormal order signal.
REV-100058,ORD-100058,1,Low score due to abnormal order signal.
REV-100059,ORD-100059,5,Demo review with acceptable customer experience.
REV-100060,ORD-100060,3,Demo review with acceptable customer experience.
REV-100061,ORD-100061,4,Demo review with acceptable customer experience.
REV-100062,ORD-100062,5,Demo review with acceptable customer experience.
REV-100063,ORD-100063,2,Low score due to abnormal order signal.
REV-100064,ORD-100064,4,Demo review with acceptable customer experience.
REV-100065,ORD-100065,5,Demo review with acceptable customer experience.
REV-100066,ORD-100066,3,Demo review with acceptable customer experience.
REV-100067,ORD-100067,4,Demo review with acceptable customer experience.
REV-100068,ORD-100068,5,Demo review with acceptable customer experience.
REV-100069,ORD-100069,3,Demo review with acceptable customer experience.
REV-100070,ORD-100070,1,Low score due to abnormal order signal.
REV-100071,ORD-100071,5,Demo review with acceptable customer experience.
REV-100072,ORD-100072,1,Low score due to abnormal order signal.
REV-100073,ORD-100073,4,Demo review with acceptable customer experience.
REV-100074,ORD-100074,5,Demo review with acceptable customer experience.
REV-100075,ORD-100075,3,Demo review with acceptable customer experience.
REV-100076,ORD-100076,1,Low score due to abnormal order signal.
REV-100077,ORD-100077,2,Low score due to abnormal order signal.
REV-100078,ORD-100078,3,Demo review with acceptable customer experience.
REV-100079,ORD-100079,4,Demo review with acceptable customer experience.
REV-100080,ORD-100080,5,Demo review with acceptable customer experience.
REV-100081,ORD-100081,2,Low score due to abnormal order signal.
REV-100082,ORD-100082,4,Demo review with acceptable customer experience.
REV-100083,ORD-100083,5,Demo review with acceptable customer experience.
REV-100084,ORD-100084,1,Low score due to abnormal order signal.
REV-100085,ORD-100085,4,Demo review with acceptable customer experience.
REV-100086,ORD-100086,5,Demo review with acceptable customer experience.
REV-100087,ORD-100087,2,Low score due to abnormal order signal.
REV-100088,ORD-100088,4,Demo review with acceptable customer experience.
REV-100089,ORD-100089,5,Demo review with acceptable customer experience.
REV-100090,ORD-100090,1,Low score due to abnormal order signal.
REV-100091,ORD-100091,2,Low score due to abnormal order signal.
REV-100092,ORD-100092,5,Demo review with acceptable customer experience.
REV-100093,ORD-100093,3,Demo review with acceptable customer experience.
REV-100094,ORD-100094,4,Demo review with acceptable customer experience.
REV-100095,ORD-100095,2,Low score due to abnormal order signal.
REV-100096,ORD-100096,3,Demo review with acceptable customer experience.
REV-100097,ORD-100097,4,Demo review with acceptable customer experience.
REV-100098,ORD-100098,1,Low score due to abnormal order signal.
REV-100099,ORD-100099,2,Low score due to abnormal order signal.
REV-100100,ORD-100100,4,Demo review with acceptable customer experience.
REV-100101,ORD-100101,5,Demo review with acceptable customer experience.
REV-100102,ORD-100102,3,Demo review with acceptable customer experience.
REV-100103,ORD-100103,4,Demo review with acceptable customer experience.
REV-100104,ORD-100104,5,Demo review with acceptable customer experience.
REV-100105,ORD-100105,2,Low score due to abnormal order signal.
REV-100106,ORD-100106,4,Demo review with acceptable customer experience.
REV-100107,ORD-100107,5,Demo review with acceptable customer experience.
REV-100108,ORD-100108,1,Low score due to abnormal order signal.
REV-100109,ORD-100109,4,Demo review with acceptable customer experience.
REV-100110,ORD-100110,5,Demo review with acceptable customer experience.
REV-100111,ORD-100111,3,Demo review with acceptable customer experience.
REV-100112,ORD-100112,1,Low score due to abnormal order signal.
REV-100113,ORD-100113,5,Demo review with acceptable customer experience.
REV-100114,ORD-100114,1,Low score due to abnormal order signal.
REV-100115,ORD-100115,4,Demo review with acceptable customer experience.
REV-100116,ORD-100116,1,Low score due to abnormal order signal.
REV-100117,ORD-100117,2,Low score due to abnormal order signal.
REV-100118,ORD-100118,4,Demo review with acceptable customer experience.
REV-100119,ORD-100119,2,Low score due to abnormal order signal.
REV-100120,ORD-100120,3,Demo review with acceptable customer experience.
REV-100121,ORD-100121,4,Demo review with acceptable customer experience.
REV-100122,ORD-100122,5,Demo review with acceptable customer experience.
REV-100123,ORD-100123,3,Demo review with acceptable customer experience.
REV-100124,ORD-100124,4,Demo review with acceptable customer experience.
REV-100125,ORD-100125,5,Demo review with acceptable customer experience.
REV-100126,ORD-100126,1,Low score due to abnormal order signal.
REV-100127,ORD-100127,4,Demo review with acceptable customer experience.
REV-100128,ORD-100128,5,Demo review with acceptable customer experience.
REV-100129,ORD-100129,3,Demo review with acceptable customer experience.
REV-100130,ORD-100130,4,Demo review with acceptable customer experience.
REV-100131,ORD-100131,5,Demo review with acceptable customer experience.
REV-100132,ORD-100132,3,Demo review with acceptable customer experience.
REV-100133,ORD-100133,2,Low score due to abnormal order signal.
REV-100134,ORD-100134,5,Demo review with acceptable customer experience.
REV-100135,ORD-100135,2,Low score due to abnormal order signal.
REV-100136,ORD-100136,4,Demo review with acceptable customer experience.
REV-100137,ORD-100137,2,Low score due to abnormal order signal.
REV-100138,ORD-100138,3,Demo review with acceptable customer experience.
REV-100139,ORD-100139,4,Demo review with acceptable customer experience.
REV-100140,ORD-100140,1,Low score due to abnormal order signal.
REV-100141,ORD-100141,3,Demo review with acceptable customer experience.
REV-100142,ORD-100142,4,Demo review with acceptable customer experience.
REV-100143,ORD-100143,5,Demo review with acceptable customer experience.
REV-100144,ORD-100144,1,Low score due to abnormal order signal.
